,,,,,
1,0.096,0.1016,0.1008,0.1008,0.1008
2,0.0957,0.1086,0.101,0.1008,0.1008
3,0.154,0.1264,0.1013,0.1008,0.1008
4,0.1373,0.1446,0.1016,0.1008,0.1008
5,0.2658,0.1502,0.1021,0.1011,0.1008
6,0.3367,0.135,0.104,0.1012,0.1008
7,0.3551,0.1102,0.1058,0.1013,0.1008
8,0.3667,0.0987,0.1088,0.1014,0.1008
9,0.3851,0.0962,0.1126,0.1016,0.1008
10,0.4107,0.0961,0.116,0.1016,0.1008
11,0.4294,0.0957,0.122,0.102,0.1008
12,0.4487,0.0957,0.126,0.1022,0.1008
13,0.4588,0.096,0.1295,0.1029,0.1008
14,0.4701,0.1001,0.1339,0.1037,0.1008
15,0.4821,0.1939,0.1389,0.1045,0.1008
16,0.4913,0.332,0.1433,0.1056,0.1008
17,0.500199999,0.4111,0.146,0.1061,0.1008
18,0.510299999,0.4542,0.149,0.1072,0.1008
19,0.520899999,0.4751,0.1527,0.1087,0.1008
20,0.526199999,0.4932,0.1571,0.1101,0.1008
21,0.535399999,0.4952,0.1594,0.1117,0.1008
22,0.539499999,0.4991,0.16,0.1133,0.1008
23,0.547099999,0.507499999,0.1615,0.115,0.1008
24,0.551299999,0.512099999,0.1612,0.1168,0.1008
25,0.555699999,0.523999999,0.1596,0.1183,0.1008
26,0.561799999,0.532299999,0.1607,0.1208,0.1008
27,0.563299999,0.538699999,0.1596,0.1225,0.1008
28,0.569499999,0.550799999,0.1574,0.125,0.1008
29,0.572699999,0.561499999,0.1561,0.1264,0.1008
30,0.577899999,0.572899999,0.153,0.1276,0.1008
31,0.582599999,0.581999999,0.151,0.1291,0.1008
32,0.585199999,0.591599999,0.147,0.1303,0.1008
33,0.591699999,0.598899999,0.1433,0.132,0.1008
34,0.593099999,0.607299999,0.1402,0.1341,0.1008
35,0.602399999,0.618199999,0.1364,0.1362,0.1008
36,0.605099999,0.628299999,0.132,0.1388,0.1008
37,0.610899999,0.635899999,0.1289,0.14,0.1008
